zone_id,year,month,day,h20,station_id,year,month,day,h20
1,2007,1,1,"20,310",1,2007,1,1,62
1,2007,1,2,"23,397",1,2007,1,2,41
1,2007,1,3,"22,897",1,2007,1,3,50
1,2007,1,4,"19,389",1,2007,1,4,60
1,2007,1,5,"18,084",1,2007,1,5,64
1,2007,1,6,"17,579",1,2007,1,6,65
1,2007,1,7,"20,840",1,2007,1,7,56
1,2007,1,8,"24,610",1,2007,1,8,52
1,2007,1,9,"27,523",1,2007,1,9,45
1,2007,1,10,"29,020",1,2007,1,10,38
1,2007,1,11,"26,656",1,2007,1,11,38
1,2007,1,12,"21,109",1,2007,1,12,55
1,2007,1,13,"18,247",1,2007,1,13,62
1,2007,1,14,"17,278",1,2007,1,14,64
1,2007,1,15,"19,114",1,2007,1,15,68
1,2007,1,16,"26,059",1,2007,1,16,45
1,2007,1,17,"29,664",1,2007,1,17,29
1,2007,1,18,"31,163",1,2007,1,18,39
1,2007,1,19,"26,285",1,2007,1,19,44
1,2007,1,20,"26,694",1,2007,1,20,38
1,2007,1,21,"30,060",1,2007,1,21,31
1,2007,1,22,"25,618",1,2007,1,22,40
1,2007,1,23,"27,484",1,2007,1,23,33
1,2007,1,24,"25,952",1,2007,1,24,35
1,2007,1,25,"32,642",1,2007,1,25,36
1,2007,1,26,"25,652",1,2007,1,26,37
1,2007,1,27,"19,910",1,2007,1,27,52
1,2007,1,28,"28,716",1,2007,1,28,37
1,2007,1,29,"31,525",1,2007,1,29,34
1,2007,1,30,"27,659",1,2007,1,30,40
1,2007,1,31,"31,580",1,2007,1,31,28
1,2007,2,1,"30,526",1,2007,2,1,37
1,2007,2,2,"26,058",1,2007,2,2,41
1,2007,2,3,"28,985",1,2007,2,3,35
1,2007,2,4,"29,028",1,2007,2,4,38
1,2007,2,5,"39,058",1,2007,2,5,27
1,2007,2,6,"32,000",1,2007,2,6,26
1,2007,2,7,"31,286",1,2007,2,7,29
1,2007,2,8,"31,563",1,2007,2,8,31
1,2007,2,9,"30,557",1,2007,2,9,32
