2,2006,12,1,"131,727","126,119","124,756","123,645","128,412","138,754","158,391","167,125","168,061","168,272","167,982","168,219","166,491","164,173","161,413","159,011","159,658","172,341","175,368","170,327","168,541","161,615","153,560","145,889"
2,2006,12,2,"139,457","136,390","135,391","137,389","142,053","150,697","161,086","173,405","179,323","179,153","174,419","169,142","164,720","160,682","156,990","158,863","170,482","186,671","189,945","186,250","184,284","178,674","170,434","162,191"
2,2006,12,3,"155,270","152,401","153,209","153,309","159,740","166,584","175,589","188,465","195,304","190,965","184,933","176,919","173,819","170,968","170,917","170,683","182,672","199,692","201,255","202,215","199,386","190,840","178,095","165,382"
2,2006,12,4,"159,049","158,254","157,110","161,762","171,179","188,277","216,479","233,320","228,241","223,854","218,739","213,547","208,763","205,432","202,513","201,849","213,608","240,529","248,577","248,767","244,762","234,181","217,085","200,484"
2,2006,12,5,"193,791","189,163","190,843","193,230","201,488","214,076","237,179","246,250","236,444","226,341","217,902","210,803","203,672","200,023","197,730","196,580","209,041","233,743","241,644","242,791","241,242","231,446","218,304","206,411"
2,2006,12,6,"201,756","200,667","201,427","204,041","210,955","224,427","246,300","253,230","241,597","226,180","215,627","207,624","197,867","192,147","187,469","185,765","196,071","217,955","222,689","221,506","216,702","206,563","191,250","175,668"
2,2006,12,7,"167,206","162,841","162,046","163,592","170,856","184,256","209,108","221,095","214,309","206,215","201,564","197,449","194,850","194,890","195,028","198,383","212,475","235,822","247,602","251,374","252,328","247,563","233,887","221,620"
2,2006,12,8,"214,969","215,596","215,583","216,913","223,358","236,995","259,290","269,212","257,226","249,635","240,919","234,822","227,418","223,451","220,329","217,552","229,499","250,225","254,479","253,771","250,106","244,499","234,924","222,360"
2,2006,12,9,"216,512","213,088","209,890","213,317","216,315","220,501","228,674","240,242","246,728","237,858","227,585","218,084","203,069","192,564","185,857","186,022","194,395","212,632","214,396","214,514","211,851","208,038","198,784","187,601"
2,2006,12,10,"179,162","175,438","174,316","174,117","175,964","179,065","188,288","198,908","204,278","199,264","185,643","176,119","167,367","161,813","156,158","154,438","164,350","187,430","192,189","196,232","195,520","189,955","177,960","165,721"
2,2006,12,11,"161,316","158,273","158,412","161,420","168,035","180,781","204,059","217,669","212,594","202,348","192,378","185,291","180,536","175,175","170,683","169,516","176,154","198,637","207,674","208,170","204,837","199,393","185,664","172,914"
2,2006,12,12,"167,831","166,499","166,219","168,352","176,681","192,757","216,186","226,440","221,039","210,148","201,235","191,143","185,204","182,165","177,601","178,785","186,332","206,825","215,355","215,840","212,196","202,914","187,303","169,978"
2,2006,12,13,"162,232","156,963","155,223","155,454","160,527","172,883","192,672","205,742","202,958","197,794","191,656","185,215","178,862","174,299","171,166","170,665","176,787","199,037","202,724","203,173","200,579","190,948","178,216","164,649"
2,2006,12,14,"158,132","153,905","153,020","155,618","161,116","174,365","196,131","208,055","200,197","190,564","183,296","176,299","172,071","170,828","168,011","166,188","172,521","193,621","200,424","200,256","197,989","190,143","177,247","161,901"
2,2006,12,15,"154,049","149,934","148,466","149,712","156,372","167,184","190,149","200,622","193,224","188,292","182,095","178,856","174,434","169,175","166,021","165,200","172,178","189,016","191,033","188,204","184,511","178,740","169,785","155,058"
